"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","Omega_N_min","Omega_N_max","Omega_F_min","Omega_F_max","Omega_A_min","Omega_A_max","Omega_R_min","Omega_R_max","Theta_N_min","Theta_N_max","Theta_F_min","Theta_F_max","Theta_A_min","Theta_A_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.956521739130435,0.978260869565217,0.192307692307692,0.346153846153846,0,1,1,1,0.936170212765958,0.957446808510638,0.166666666666667,0.3,0,0.5,1,1,0.0212765957446808,0.0425531914893617,0.566666666666667,0.7,0,0.5,0,0,0.0140425531914894,0.0641489361702128,0.00157446808510638,0.00880851063829787,0.067,0.1656,0.130333333333333,0.2653,0,0.394,0,0.121,0,0.083,0,0,0.0380320771465059,0.331666871354926,0.0619023893277205,0.185418607460837,-0.147386530314331,0.269764482027206,0.207653470731461,0.970258197380891,6
"CA Program",0.956521739130435,1,0.0769230769230769,0.692307692307692,0,1,1,1,0.916666666666667,0.958333333333333,0.0476190476190476,0.428571428571429,0,0.5,1,1,0,0.0416666666666666,0.19047619047619,0.571428571428571,0,0.5,0,0,0.01375,0.0642083333333333,0,0.00862499999999999,0.0191428571428571,0.236571428571429,0.0438095238095238,0.216571428571429,0,0.394,0,0.121,0,0.083,0,0,0.015436133625631,0.365000592193328,0.0205591645828166,0.162464887405053,-0.147028753779422,0.344441427610511,0.208173602170549,1.07882268773478,5
"Calendar",0.739130434782609,0.934782608695652,0.0384615384615385,0.307692307692308,0,0,1,1,0.618181818181818,0.781818181818182,0.0303030303030303,0.242424242424242,0,0,1,1,0.0545454545454545,0.218181818181818,0.545454545454546,0.757575757575758,1,1,0,0,0.00927272727272727,0.0523818181818182,0.00403636363636363,0.0451636363636364,0.0121818181818182,0.133818181818182,0.125454545454545,0.287121212121212,0,0,0.121,0.242,0,0.083,0,0,0.0100683023391738,0.126331596977803,0.117551696039659,0.269503425071495,-0.259435122732321,0.00877990093814396,0.0447585071558577,0.590841794971259,12
"Conduit",0.869565217391304,0.934782608695652,0.153846153846154,0.307692307692308,0,0,0.5,1,0.816326530612245,0.877551020408163,0.133333333333333,0.266666666666667,0,0,0.333333333333333,0.666666666666667,0.0612244897959183,0.122448979591837,0.6,0.733333333333333,1,1,0,0.333333333333333,0.0122448979591837,0.0587959183673469,0.00453061224489796,0.0253469387755102,0.0536,0.1472,0.138,0.277933333333333,0,0,0.121,0.242,0,0.0553333333333333,0,0.139,0.03090004127795,0.122637970669989,0.123671036766107,0.321122658082896,-0.290222616804946,-0.00103306609611792,0,0.576575815603561,16
"Data Platform and Tools",0.847826086956522,0.91304347826087,0.269230769230769,1,0,1,1,1,0.795918367346939,0.857142857142857,0.155555555555556,0.577777777777778,0,0.5,1,1,0.0816326530612245,0.142857142857143,0,0.422222222222222,0,0.5,0,0,0.0119387755102041,0.0574285714285714,0.00604081632653062,0.0295714285714286,0.0625333333333333,0.318933333333333,0,0.160022222222222,0,0.394,0,0.121,0,0.083,0,0,0.0349486643406717,0.400470179155242,0.00283486617228899,0.145757027919494,-0.110808363578823,0.397635312982953,0.260830391649982,1.15615535058399,4
"Developer Infrastructure",0.673913043478261,1,0.5,0.692307692307692,0,1,1,1,0.508196721311475,0.754098360655738,0.419354838709677,0.580645161290323,0,0.5,1,1,0,0.245901639344262,0.258064516129032,0.419354838709677,0,0.5,0,0,0.00762295081967213,0.0505245901639344,0,0.0509016393442623,0.16858064516129,0.320516129032258,0.0593548387096774,0.158935483870968,0,0.394,0,0.121,0,0.083,0,0,0.0826897536162947,0.397973025104976,0.0278543520154289,0.155256991513084,-0.072567237896789,0.370118673089547,0.316424903286746,1.11615197386652,1
"GeckoView",0.782608695652174,0.956521739130435,0.153846153846154,0.5,0,1,0.5,1,0.666666666666667,0.814814814814815,0.114285714285714,0.371428571428571,0,0.5,0.333333333333333,0.666666666666667,0.037037037037037,0.185185185185185,0.371428571428571,0.628571428571429,0,0.5,0,0.333333333333333,0.01,0.0545925925925926,0.00274074074074074,0.0383333333333333,0.0459428571428571,0.205028571428571,0.0854285714285714,0.238228571428571,0,0.394,0,0.121,0,0.0553333333333333,0,0.139,0.0262531592955358,0.332701908749588,0.0413765602183641,0.251800602919848,-0.225547443624313,0.291325348531224,0.0940240278985752,1.00160313878568,9
"MailNews Core",0.739130434782609,0.847826086956522,0.0769230769230769,0.461538461538462,0,1,0.5,1,0.666666666666667,0.764705882352941,0.0555555555555556,0.333333333333333,0,0.5,0.333333333333333,0.666666666666667,0.137254901960784,0.235294117647059,0.388888888888889,0.666666666666667,0,0.5,0,0.333333333333333,0.01,0.0512352941176471,0.010156862745098,0.0487058823529412,0.0223333333333333,0.184,0.0894444444444444,0.252666666666667,0,0.394,0,0.121,0,0.0553333333333333,0,0.139,0.0151735573388396,0.321257978999944,0.0467414271854815,0.263443873020605,-0.248270315681766,0.274516551814462,0.0609897760953581,0.977166702148325,11
"Mozilla QA",1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.015,0.067,0,0,0,0,0.23,0.379,0,0,0.121,0.242,0,0.083,0,0,0.00703927917781219,0.0703927917781219,0.164719132760805,0.291426157961425,-0.284386878783613,-0.0943263409826833,0.00848392926593598,0.440947118387942,15
"mozilla.org",1,1,0.5,0.769230769230769,0,0,1,1,1,1,0.393939393939394,0.606060606060606,0,0,1,1,0,0,0.181818181818182,0.393939393939394,1,1,0,0,0.015,0.067,0,0,0.158363636363636,0.334545454545455,0.0418181818181818,0.14930303030303,0,0,0.121,0.242,0,0.083,0,0,0.08135700237629,0.227390048592358,0.0764081758027978,0.183632751561796,-0.102275749185506,0.15098187278956,0.273235008975464,0.797573397084597,2
"NSS",0,0.978260869565217,0.0769230769230769,0.692307692307692,0,1,1,1,0,0.494505494505495,0.0476190476190476,0.428571428571429,0,0.5,1,1,0.010989010989011,0.505494505494505,0.19047619047619,0.571428571428571,0,0.5,0,0,0,0.0331318681318681,0.000813186813186813,0.104637362637363,0.0191428571428571,0.236571428571429,0.0438095238095238,0.216571428571429,0,0.394,0,0.121,0,0.083,0,0,0.00898346104596985,0.350416864565816,0.0209407811829324,0.20752207574677,-0.1985386147008,0.329476083382883,0.133289154829424,1.0570662412659,8
"Release Engineering",0.869565217391304,0.978260869565217,0.307692307692308,0.692307692307692,0,1,1,1,0.784313725490196,0.882352941176471,0.222222222222222,0.5,0,0.5,1,1,0.0196078431372549,0.117647058823529,0.222222222222222,0.5,0,0.5,0,0,0.0117647058823529,0.0591176470588235,0.00145098039215686,0.0243529411764706,0.0893333333333333,0.276,0.0511111111111111,0.1895,0,0.394,0,0.121,0,0.083,0,0,0.0474438214912414,0.381114856191667,0.0246666157507476,0.157141555763513,-0.109697734272272,0.35644824044092,0.262445011847634,1.09627805505767,3
"Remote Protocol",0.804347826086957,0.956521739130435,0.192307692307692,0.846153846153846,0,0,1,1,0.69811320754717,0.830188679245283,0.116279069767442,0.511627906976744,0,0,1,1,0.0377358490566038,0.169811320754717,0.0930232558139535,0.488372093023256,1,1,0,0,0.0104716981132075,0.055622641509434,0.00279245283018868,0.0351509433962264,0.0467441860465116,0.282418604651163,0.0213953488372093,0.185093023255814,0,0,0.121,0.242,0,0.083,0,0,0.0268505721337084,0.197588458473226,0.0681344979433094,0.216924288634868,-0.19007371650116,0.129453960529916,0.145595327126152,0.766276364183803,7
"support.mozilla.org",0.891304347826087,0.978260869565217,0.0384615384615385,0.461538461538462,0,1,0.5,1,0.82,0.9,0.027027027027027,0.324324324324324,0,0.5,0.333333333333333,0.666666666666667,0.02,0.1,0.378378378378378,0.675675675675676,0,0.5,0,0.333333333333333,0.0123,0.0603,0.00148,0.0207,0.0108648648648649,0.179027027027027,0.087027027027027,0.256081081081081,0,0.394,0,0.121,0,0.0553333333333333,0,0.139,0.0108709300600051,0.323178169017955,0.0415350448294275,0.251903459139838,-0.241032529079833,0.281643124188528,0.0715119875702836,0.987527231649326,10
"WebExtensions",0.695652173913043,0.847826086956522,0.115384615384615,0.576923076923077,0,1,0,1,0.60377358490566,0.735849056603774,0.0789473684210526,0.394736842105263,0,0.5,0,0.5,0.132075471698113,0.264150943396226,0.289473684210526,0.605263157894737,0,0.5,0,0.5,0.0090566037735849,0.0493018867924528,0.00977358490566038,0.0546792452830189,0.0317368421052632,0.217894736842105,0.0665789473684211,0.229394736842105,0,0.394,0,0.121,0,0.0415,0,0.2085,0.0191437636110789,0.329765180737978,0.0358311193740117,0.287941237094713,-0.268797473483634,0.293934061363967,0.0311476285923148,1.00539565569908,13
"Webtools",0.91304347826087,1,0,0.115384615384615,0,0,1,1,0.84,0.92,0,0.103448275862069,0,0,1,1,0,0.0800000000000001,0.793103448275862,0.896551724137931,1,1,0,0,0.0126,0.06164,0,0.01656,0,0.0571034482758621,0.182413793103448,0.339793103448276,0,0,0.121,0.242,0,0.083,0,0,0.00591299450936224,0.0946752303138871,0.142387626403608,0.280798302805517,-0.274885308296155,-0.0477123960897209,0.022297203891392,0.508713938939587,14
