"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","New_1_min","New_1_max","Fixed_1_min","Fixed_1_max","Assigned_1_min","Assigned_1_max","Reopened_1_min","Reopened_1_max","Omega_N_min","Omega_N_max","Theta_N_min","Theta_N_max","Omega_F_min","Omega_F_max","Theta_F_min","Theta_F_max","Omega_A_min","Omega_A_max","Theta_A_min","Theta_A_max","Omega_R_min","Omega_R_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.990950226244344,1,0.179487179487179,0.333333333333333,0,0.111111111111111,1,1,0,0.00904977375565608,0.666666666666667,0.82051282051282,0.888888888888889,1,0,0,0.982062780269058,0.991031390134529,0,0.00896860986547082,0.155555555555556,0.288888888888889,0.577777777777778,0.711111111111111,0,0.1,0.8,0.9,1,1,0,0,0.0147309417040359,0.0663991031390135,0,0.00185650224215246,0.0625333333333333,0.159466666666667,0.132888888888889,0.269511111111111,0,0.0788,0.0968,0.2178,0,0.083,0,0,0.0362589868306205,0.181925838756244,0.107789614195358,0.229559159675848,-0.193300172845227,0.0741362245608857,0.163828035120538,0.653749043689103,3
"CA Program",1,1,0.0512820512820513,0.256410256410256,0,0.333333333333333,1,1,0,0,0.743589743589744,0.948717948717949,0.666666666666667,1,0,0,1,1,0,0,0.0425531914893617,0.212765957446809,0.617021276595745,0.787234042553192,0,0.25,0.5,0.75,1,1,0,0,0.015,0.067,0,0,0.0171063829787234,0.117446808510638,0.141914893617021,0.29836170212766,0,0.197,0.0605,0.1815,0,0.083,0,0,0.0150670528784661,0.217958049890018,0.0949903297278245,0.22519203253445,-0.210124979655984,0.122967720162193,0.138071667938426,0.728503062852927,4
"Calendar",0.963800904977376,0.990950226244344,0,0.179487179487179,0,0,0.75,1,0.00904977375565608,0.0361990950226244,0.82051282051282,1,1,1,0,0.25,0.938325991189427,0.964757709251101,0.00881057268722464,0.0352422907488987,0,0.152173913043478,0.695652173913043,0.847826086956522,0,0,1,1,0.6,0.8,0,0.2,0.0140748898678414,0.0646387665198238,0.000651982378854623,0.00729515418502202,0,0.084,0.16,0.321326086956522,0,0,0.121,0.242,0,0.0664,0,0.0834,0.00660513861177972,0.100914527439028,0.1321751289966,0.306922540307637,-0.300317401695857,-0.0312606015575723,0,0.49240161284665,16
"Conduit",0.990950226244344,1,0.0769230769230769,0.230769230769231,0,0,1,1,0,0.00904977375565608,0.769230769230769,0.923076923076923,1,1,0,0,0.982062780269058,0.991031390134529,0,0.00896860986547082,0.0666666666666667,0.2,0.666666666666667,0.8,0,0,1,1,1,1,0,0,0.0147309417040359,0.0663991031390135,0,0.00185650224215246,0.0268,0.1104,0.153333333333333,0.3032,0,0,0.121,0.242,0,0.083,0,0,0.0194898595448101,0.121919894476049,0.128740594740876,0.25672556302133,-0.23723570347652,-0.00682070026482696,0.09656903642838,0.529815597962251,8
"Data Platform and Tools",0.85972850678733,0.972850678733032,0.564102564102564,0.974358974358974,0,0.111111111111111,0.75,1,0.0271493212669683,0.14027149321267,0.0256410256410257,0.435897435897436,0.888888888888889,1,0,0.25,0.772357723577236,0.873983739837398,0.024390243902439,0.126016260162602,0.4,0.690909090909091,0.0181818181818182,0.309090909090909,0,0.1,0.8,0.9,0.6,0.8,0,0.2,0.0115853658536585,0.0585569105691057,0.00180487804878049,0.0260853658536585,0.1608,0.381381818181818,0.00418181818181819,0.117145454545455,0,0.0788,0.0968,0.2178,0,0.0664,0,0.0834,0.0808979144275464,0.274596991295192,0.0482362833688107,0.208564841334231,-0.127666926906685,0.226360707926381,0.264303125310945,0.886782904450125,1
"Developer Infrastructure",0.972850678733032,1,0,0.461538461538462,0,0,0.5,1,0,0.0271493212669683,0.538461538461538,1,1,1,0,0.5,0.947136563876652,0.973568281938326,0,0.026431718061674,0,0.315789473684211,0.368421052631579,0.684210526315789,0,0,1,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0.0142070484581498,0.0652290748898679,0,0.00547136563876652,0,0.174315789473684,0.0847368421052631,0.259315789473684,0,0,0.121,0.242,0,0.0553333333333333,0,0.139,0.0066671586926415,0.138381997135898,0.0965492712493609,0.30305840495211,-0.296391246259468,0.0418327258865373,0.00601038110993514,0.604297018326682,15
"GeckoView",0.972850678733032,0.97737556561086,0.153846153846154,0.358974358974359,0,0.111111111111111,0.75,1,0.0226244343891403,0.0271493212669683,0.641025641025641,0.846153846153846,0.888888888888889,1,0,0.25,0.968468468468468,0.972972972972973,0.0225225225225226,0.027027027027027,0.127659574468085,0.297872340425532,0.531914893617021,0.702127659574468,0,0.1,0.8,0.9,0.6,0.8,0,0.2,0.014527027027027,0.0651891891891892,0.00166666666666667,0.0055945945945946,0.0513191489361702,0.164425531914894,0.122340425531915,0.266106382978723,0,0.0788,0.0968,0.2178,0,0.0664,0,0.0834,0.0309006410264195,0.17589503078703,0.103621517761782,0.268853994825341,-0.237953353798921,0.0722735130252481,0.0954704166688768,0.65089749937089,9
"MailNews Core",0.909502262443439,0.959276018099548,0.102564102564103,0.461538461538462,0,0.111111111111111,0.75,1,0.0407239819004525,0.0904977375565611,0.538461538461538,0.897435897435897,0.888888888888889,1,0,0.25,0.866379310344828,0.913793103448276,0.0387931034482758,0.0862068965517241,0.0754716981132075,0.339622641509434,0.39622641509434,0.660377358490566,0,0.1,0.8,0.9,0.6,0.8,0,0.2,0.0129956896551724,0.0612241379310345,0.00287068965517241,0.0178448275862069,0.0303396226415094,0.187471698113208,0.0911320754716981,0.250283018867925,0,0.0788,0.0968,0.2178,0,0.0664,0,0.0834,0.0203366241009347,0.184849517126211,0.0895409287751047,0.267177176992882,-0.246840552891947,0.0953085883511059,0.0818653889478952,0.686160897330448,10
"Mozilla QA",1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.015,0.067,0,0,0,0,0.23,0.379,0,0,0.121,0.242,0,0.083,0,0,0.00703927917781219,0.0703927917781219,0.164719132760805,0.291426157961425,-0.284386878783613,-0.0943263409826833,0.0243873467402012,0.395857007044339,13
"mozilla.org",0.990950226244344,1,0.358974358974359,0.846153846153846,0,0,1,1,0,0.00904977375565608,0.153846153846154,0.641025641025641,1,1,0,0,0.982062780269058,0.991031390134529,0,0.00896860986547082,0.241379310344828,0.568965517241379,0.103448275862069,0.431034482758621,0,0,1,1,1,1,0,0,0.0147309417040359,0.0663991031390135,0,0.00185650224215246,0.0970344827586207,0.314068965517241,0.0237931034482759,0.163362068965517,0,0,0.121,0.242,0,0.083,0,0,0.0524498683479546,0.217498741684854,0.067949271879617,0.191101680608039,-0.138651812260084,0.149549469805237,0.247486840654727,0.769195910732255,2
"NSS",0,0.995475113122172,0.0512820512820513,1,0,1,0,1,0.00452488687782804,1,0,0.948717948717949,0,1,0,1,0,0.498866213151927,0.00226757369614512,0.501133786848073,0.0263157894736842,0.513157894736842,0,0.486842105263158,0,0.5,0,0.5,0,0.5,0,0.5,0,0.0334240362811791,0.000167800453514739,0.103734693877551,0.0105789473684211,0.283263157894737,0,0.184513157894737,0,0.394,0,0.121,0,0.0415,0,0.2085,0.00496454426224649,0.352990376918633,7.87462825635828e-05,0.289899972674592,-0.284935428412345,0.35291163063607,0.0235475959000179,1.0805142244711,14
"Release Engineering",0.986425339366516,1,0.0769230769230769,0.692307692307692,0,0.333333333333333,0.75,1,0,0.0135746606334841,0.307692307692308,0.923076923076923,0.666666666666667,1,0,0.25,0.973214285714286,0.986607142857143,0,0.0133928571428571,0.0476190476190476,0.428571428571429,0.19047619047619,0.571428571428571,0,0.25,0.5,0.75,0.6,0.8,0,0.2,0.0145982142857143,0.0661026785714286,0,0.00277232142857142,0.0191428571428571,0.236571428571429,0.0438095238095238,0.216571428571429,0,0.197,0.0605,0.1815,0,0.0664,0,0.0834,0.0158341881029478,0.265650245033956,0.0489509239333257,0.227248463090713,-0.211414274987765,0.21669932110063,0.136097941621979,0.871992706299775,5
"Remote Protocol",0.959276018099548,0.986425339366516,0.153846153846154,0.666666666666667,0,0.111111111111111,0.75,1,0.0135746606334841,0.0407239819004525,0.333333333333333,0.846153846153846,0.888888888888889,1,0,0.25,0.933920704845815,0.960352422907489,0.013215859030837,0.039647577092511,0.101694915254237,0.440677966101695,0.220338983050847,0.559322033898305,0,0.1,0.8,0.9,0.6,0.8,0,0.2,0.0140088105726872,0.0643436123348018,0.000977973568281935,0.00820704845814977,0.0408813559322034,0.243254237288136,0.0506779661016949,0.211983050847458,0,0.0788,0.0968,0.2178,0,0.0664,0,0.0834,0.0257591470763014,0.212491364973925,0.0696681869960941,0.244680697970626,-0.218921550894325,0.142823177977831,0.124605378470338,0.758898922242026,6
"support.mozilla.org",0.990950226244344,1,0.0769230769230769,0.282051282051282,0,0,0.75,1,0,0.00904977375565608,0.717948717948718,0.923076923076923,1,1,0,0.25,0.982062780269058,0.991031390134529,0,0.00896860986547082,0.0638297872340425,0.234042553191489,0.595744680851064,0.765957446808511,0,0,1,1,0.6,0.8,0,0.2,0.0147309417040359,0.0663991031390135,0,0.00185650224215246,0.0256595744680851,0.129191489361702,0.137021276595745,0.290297872340426,0,0,0.121,0.242,0,0.0664,0,0.0834,0.0189546746314332,0.122948328171531,0.12108558665153,0.289809176677731,-0.270854502046298,0.00186274152000136,0.0451034754906422,0.543108702455525,12
"WebExtensions",0.904977375565611,0.981900452488688,0.179487179487179,0.358974358974359,0,0.222222222222222,0.75,1,0.0180995475113123,0.0950226244343891,0.641025641025641,0.82051282051282,0.777777777777778,1,0,0.25,0.840336134453782,0.911764705882353,0.0168067226890757,0.0882352941176471,0.152173913043478,0.304347826086957,0.543478260869565,0.695652173913043,0,0.181818181818182,0.636363636363636,0.818181818181818,0.6,0.8,0,0.2,0.0126050420168067,0.0610882352941177,0.0012436974789916,0.0182647058823529,0.0611739130434783,0.168,0.125,0.263652173913043,0,0.143272727272727,0.077,0.198,0,0.0664,0,0.0834,0.0346233774744404,0.205904060522242,0.0953792751790284,0.264356318830258,-0.229732941355817,0.110524785343213,0.108054689620981,0.709454713494418,7
"Webtools",0.986425339366516,1,0.0256410256410256,0.128205128205128,0,0,1,1,0,0.0135746606334841,0.871794871794872,0.974358974358974,1,1,0,0,0.973214285714286,0.986607142857143,0,0.0133928571428571,0.0232558139534884,0.116279069767442,0.790697674418605,0.883720930232558,0,0,1,1,1,1,0,0,0.0145982142857143,0.0661026785714286,0,0.00277232142857142,0.00934883720930232,0.0641860465116279,0.181860465116279,0.33493023255814,0,0,0.121,0.242,0,0.083,0,0,0.0112379987305911,0.100093258755951,0.142127957725036,0.27204587450688,-0.260807875776289,-0.0420346989690847,0.0604834200012902,0.47590801431039,11
