"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","New_1_min","New_1_max","Fixed_1_min","Fixed_1_max","Assigned_1_min","Assigned_1_max","Reopened_1_min","Reopened_1_max","Omega_N_min","Omega_N_max","Theta_N_min","Theta_N_max","Omega_F_min","Omega_F_max","Theta_F_min","Theta_F_max","Omega_A_min","Omega_A_max","Theta_A_min","Theta_A_max","Omega_R_min","Omega_R_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.536977491961415,0.987138263665595,0.180790960451977,0.604519774011299,0.0384615384615385,0.230769230769231,0.666666666666667,1,0.0128617363344051,0.463022508038585,0.395480225988701,0.819209039548023,0.769230769230769,0.961538461538462,0,0.333333333333333,0.370288248337029,0.680709534368071,0.00886917960088691,0.319290465631929,0.126984126984127,0.424603174603175,0.277777777777778,0.575396825396825,0.032258064516129,0.193548387096774,0.645161290322581,0.806451612903226,0.5,0.75,0,0.25,0.00555432372505543,0.0456075388026608,0.000656319290465631,0.0660931263858093,0.0510476190476191,0.234380952380952,0.0638888888888889,0.218075396825397,0.0146774193548387,0.152516129032258,0.0780645161290323,0.195161290322581,0,0.06225,0,0.10425,0.0334503553087959,0.232181059747464,0.0669246441918376,0.273865415333327,-0.240415060024531,0.165256415555626,0.0962827173553791,0.792706373475982,8
"CA Program",0.993569131832797,1,0.124293785310734,0.813559322033898,0.0769230769230769,1,0.888888888888889,1,0,0.00643086816720262,0.186440677966102,0.875706214689266,0,0.923076923076923,0,0.111111111111111,0.987220447284345,0.993610223642173,0,0.00638977635782752,0.0735785953177258,0.481605351170569,0.110367892976589,0.518394648829431,0.04,0.52,0,0.48,0.8,0.9,0,0.1,0.0148083067092652,0.0665718849840256,0,0.0013226837060703,0.0295785953177258,0.265846153846154,0.0253846153846154,0.196471571906355,0.0182,0.40976,0,0.11616,0,0.0747,0,0.0417,0.0293711117494913,0.383348837969956,0.0119126263009129,0.166903306402189,-0.137532194652698,0.371436211669043,0.248242887785637,1.09723829765437,1
"Calendar",0.7491961414791,0.951768488745981,0.0451977401129944,0.129943502824859,0,0.0769230769230769,0.777777777777778,1,0.0482315112540193,0.2508038585209,0.870056497175141,0.954802259887006,0.923076923076923,1,0,0.222222222222222,0.622994652406417,0.79144385026738,0.0401069518716577,0.20855614973262,0.0416666666666667,0.119791666666667,0.802083333333333,0.880208333333333,0,0.0714285714285714,0.857142857142857,0.928571428571429,0.636363636363636,0.818181818181818,0,0.181818181818182,0.00934491978609626,0.0530267379679144,0.00296791443850267,0.0431711229946524,0.01675,0.066125,0.184479166666667,0.333598958333333,0,0.0562857142857143,0.103714285714286,0.224714285714286,0,0.0679090909090909,0,0.0758181818181818,0.0122459616997965,0.114198950285194,0.136637743122369,0.317848115284834,-0.305602153585038,-0.0224387928371746,0,0.515476576723825,16
"Conduit",0.890675241157556,0.983922829581994,0.135593220338983,0.491525423728814,0,0.0769230769230769,0.777777777777778,1,0.0160771704180064,0.109324758842444,0.508474576271186,0.864406779661017,0.923076923076923,1,0,0.222222222222222,0.814705882352941,0.9,0.0147058823529411,0.1,0.1,0.3625,0.375,0.6375,0,0.0714285714285714,0.857142857142857,0.928571428571429,0.636363636363636,0.818181818181818,0,0.181818181818182,0.0122205882352941,0.0603,0.00108823529411764,0.0207,0.0402,0.2001,0.08625,0.2416125,0,0.0562857142857143,0.103714285714286,0.224714285714286,0,0.0679090909090909,0,0.0758181818181818,0.0246002103502248,0.180484680273502,0.089658135533532,0.264134857352512,-0.239534647002287,0.0908265447399699,0.0975831060296807,0.682771878423069,6
"Data Platform and Tools",0.816720257234727,0.935691318327974,0.372881355932203,0.689265536723164,0,0.115384615384615,0.777777777777778,1,0.0643086816720257,0.183279742765273,0.310734463276836,0.627118644067797,0.884615384615385,1,0,0.222222222222222,0.729885057471264,0.836206896551724,0.0574712643678161,0.163793103448276,0.283261802575107,0.523605150214592,0.236051502145923,0.476394849785408,0,0.103448275862069,0.793103448275862,0.896551724137931,0.636363636363636,0.818181818181818,0,0.181818181818182,0.010948275862069,0.0560258620689655,0.00425287356321839,0.0339051724137931,0.113871244635193,0.289030042918455,0.0542918454935622,0.18055364806867,0,0.0815172413793104,0.0959655172413793,0.216965517241379,0,0.0679090909090909,0,0.0758181818181818,0.058575963441392,0.232053234443579,0.0725093792754986,0.238041447060877,-0.179465483619485,0.15954385516808,0.18630653215378,0.784268800835024,3
"Developer Infrastructure",0.877813504823151,0.967845659163987,0.186440677966102,0.350282485875706,0,0.0769230769230769,0.666666666666667,1,0.0321543408360129,0.122186495176849,0.649717514124294,0.813559322033898,0.923076923076923,1,0,0.333333333333333,0.805309734513274,0.887905604719764,0.0294985250737463,0.112094395280236,0.160194174757282,0.300970873786408,0.558252427184466,0.699029126213592,0,0.0714285714285714,0.857142857142857,0.928571428571429,0.5,0.75,0,0.25,0.0120796460176991,0.0594896755162242,0.00218289085545723,0.0232035398230088,0.0643980582524272,0.166135922330097,0.128398058252427,0.264932038834951,0,0.0562857142857143,0.103714285714286,0.224714285714286,0,0.06225,0,0.10425,0.0358898607490386,0.161509837219971,0.109951304529621,0.289595881727085,-0.253706020978047,0.0515585326903494,0.0766516866256396,0.624772193228149,9
"GeckoView",0.627009646302251,0.935691318327974,0.141242937853107,1,0,0.115384615384615,0,1,0.0643086816720257,0.372990353697749,0,0.858757062146893,0.884615384615385,1,0,1,0.479115479115479,0.714987714987715,0.0491400491400492,0.285012285012285,0.0759878419452888,0.537993920972644,0,0.462006079027356,0,0.103448275862069,0.793103448275862,0.896551724137931,0,0.5,0,0.5,0.00718673218673219,0.0479041769041769,0.00363636363636364,0.058997542997543,0.0305471124620061,0.2969726443769,0,0.175100303951368,0,0.0815172413793104,0.0959655172413793,0.216965517241379,0,0.0415,0,0.2085,0.0177079377956442,0.219575795513814,0.0467416964089084,0.309523377066165,-0.29181543927052,0.172834099104906,0.0203632689402225,0.803898772515932,13
"MailNews Core",0.540192926045016,0.877813504823151,0.169491525423729,0.31638418079096,0.0384615384615385,0.346153846153846,0.333333333333333,0.777777777777778,0.122186495176849,0.459807073954984,0.68361581920904,0.830508474576271,0.653846153846154,0.961538461538462,0.222222222222222,0.666666666666667,0.403846153846154,0.65625,0.0913461538461539,0.34375,0.147783251231527,0.275862068965517,0.596059113300493,0.724137931034483,0.0294117647058824,0.264705882352941,0.5,0.735294117647059,0.230769230769231,0.538461538461538,0.153846153846154,0.461538461538462,0.00605769230769231,0.04396875,0.00675961538461538,0.07115625,0.0594088669950739,0.152275862068966,0.137093596059113,0.274448275862069,0.0133823529411765,0.208588235294118,0.0605,0.177941176470588,0,0.0446923076923077,0.0256923076923077,0.192461538461538,0.0370026337434618,0.210955537592281,0.10795697552022,0.336011657419023,-0.299009023675561,0.102998562072061,0.00973819246860916,0.700750205733255,14
"Mozilla QA",0.987138263665595,1,0,0.542372881355932,0,0.307692307692308,0.888888888888889,1,0,0.0128617363344051,0.457627118644068,1,0.692307692307692,1,0,0.111111111111111,0.974603174603175,0.987301587301587,0,0.0126984126984127,0,0.351648351648352,0.296703296703297,0.648351648351648,0,0.235294117647059,0.529411764705882,0.764705882352941,0.8,0.9,0,0.1,0.0146190476190476,0.0661492063492064,0,0.00262857142857142,0,0.19410989010989,0.0682417582417582,0.245725274725275,0,0.185411764705882,0.0640588235294118,0.185058823529412,0,0.0747,0,0.0417,0.00686050383361379,0.244202384515922,0.0620867153649491,0.222963381521075,-0.216102877687461,0.182115669150973,0.132192325414217,0.817607847986986,4
"mozilla.org",0.990353697749196,1,0.372881355932203,0.632768361581921,0,0,1,1,0,0.00964630225080387,0.367231638418079,0.627118644067797,1,1,0,0,0.980891719745223,0.990445859872611,0,0.00955414012738855,0.295964125560538,0.502242152466368,0.291479820627803,0.497757847533632,0,0,1,1,1,1,0,0,0.0147133757961783,0.066359872611465,0,0.00197770700636943,0.118977578475336,0.277237668161435,0.0670403587443946,0.188650224215247,0,0,0.121,0.242,0,0.083,0,0,0.062739196711021,0.200195945737904,0.0882445721265168,0.203025919199219,-0.140286722488198,0.111951373611387,0.244174391852668,0.71397369792925,2
"NSS",0,0.971061093247588,0.124293785310734,0.418079096045198,0.0384615384615385,0.615384615384615,0.222222222222222,1,0.0289389067524116,1,0.581920903954802,0.875706214689266,0.384615384615385,0.961538461538462,0,0.777777777777778,0,0.492659053833605,0.0146818923327896,0.507340946166395,0.0960698689956332,0.323144104803493,0.449781659388646,0.676855895196507,0.024390243902439,0.390243902439024,0.24390243902439,0.609756097560976,0.125,0.5625,0,0.4375,0,0.0330081566068516,0.00108646003262643,0.105019575856444,0.0386200873362445,0.178375545851528,0.103449781659389,0.256528384279476,0.0110975609756098,0.307512195121951,0.0295121951219512,0.147560975609756,0,0.0466875,0,0.1824375,0.0233317604354284,0.265419962260233,0.0629069580055217,0.324532561708985,-0.301200801273557,0.202513004254712,0.00650089055120163,0.847735143795524,15
"Release Engineering",0.935691318327974,0.977491961414791,0.305084745762712,0.655367231638418,0,0.115384615384615,0.444444444444444,1,0.022508038585209,0.0643086816720257,0.344632768361582,0.694915254237288,0.884615384615385,1,0,0.555555555555556,0.898148148148148,0.938271604938272,0.0216049382716049,0.0617283950617284,0.225941422594142,0.485355648535565,0.255230125523013,0.514644351464435,0,0.103448275862069,0.793103448275862,0.896551724137931,0.285714285714286,0.642857142857143,0,0.357142857142857,0.0134722222222222,0.0628641975308642,0.00159876543209877,0.0127777777777778,0.0908284518828452,0.267916317991632,0.0587029288702929,0.195050209205021,0,0.0815172413793104,0.0959655172413793,0.216965517241379,0,0.0533571428571429,0,0.148928571428571,0.0489467708973051,0.21852498932796,0.0733339018929893,0.269239324066239,-0.220292553168934,0.14519108743497,0.126004086022641,0.763069459010838,5
"Remote Protocol",0.80064308681672,0.932475884244373,0.282485875706215,0.508474576271186,0,0.0384615384615385,0.333333333333333,1,0.067524115755627,0.19935691318328,0.491525423728814,0.717514124293785,0.961538461538462,1,0,0.666666666666667,0.707386363636364,0.823863636363636,0.0596590909090909,0.176136363636364,0.230414746543779,0.414746543778802,0.400921658986175,0.585253456221198,0,0.037037037037037,0.925925925925926,0.962962962962963,0.2,0.6,0,0.4,0.0106107954545455,0.0551988636363636,0.00441477272727273,0.0364602272727273,0.0926267281105991,0.228940092165899,0.0922119815668203,0.221811059907834,0,0.0291851851851852,0.112037037037037,0.233037037037037,0,0.0498,0,0.1668,0.0484478500000678,0.170408813640925,0.0979228454320381,0.308840548227321,-0.260392698227253,0.0724859682088871,0.0667753227556288,0.655682458572837,10
