"Months","Product","New","Fixed","Assigned","Reopened"
"11_2023 & 12_2023","bugzilla.mozilla.org",4,43,1,0
"11_2023 & 12_2023","CA Program",0,22,3,0
"11_2023 & 12_2023","Calendar",15,9,0,1
"11_2023 & 12_2023","Conduit",5,29,0,0
"11_2023 & 12_2023","Data Platform and Tools",57,112,2,2
"11_2023 & 12_2023","Developer Infrastructure",10,43,0,2
"11_2023 & 12_2023","GeckoView",22,36,1,2
"11_2023 & 12_2023","MailNews Core",62,42,1,2
"11_2023 & 12_2023","Mozilla QA",0,0,0,0
"11_2023 & 12_2023","mozilla.org",3,88,0,0
"11_2023 & 12_2023","NSS",311,61,16,7
"11_2023 & 12_2023","Release Engineering",7,68,3,1
"11_2023 & 12_2023","Remote Protocol",24,58,1,1
"11_2023 & 12_2023","support.mozilla.org",3,25,0,1
"11_2023 & 12_2023","WebExtensions",50,39,3,2
"11_2023 & 12_2023","Webtools",4,12,0,0
"1_2024 & 2_2024","bugzilla.mozilla.org",144,51,6,2
"1_2024 & 2_2024","CA Program",1,27,7,0
"1_2024 & 2_2024","Calendar",34,8,0,0
"1_2024 & 2_2024","Conduit",27,34,2,1
"1_2024 & 2_2024","Data Platform and Tools",46,110,0,2
"1_2024 & 2_2024","Developer Infrastructure",35,47,1,1
"1_2024 & 2_2024","GeckoView",26,25,3,1
"1_2024 & 2_2024","MailNews Core",107,46,1,3
"1_2024 & 2_2024","Mozilla QA",1,0,0,0
"1_2024 & 2_2024","mozilla.org",3,86,0,0
"1_2024 & 2_2024","NSS",23,37,4,1
"1_2024 & 2_2024","Release Engineering",11,67,0,1
"1_2024 & 2_2024","Remote Protocol",33,74,1,1
"1_2024 & 2_2024","support.mozilla.org",10,48,3,1
"1_2024 & 2_2024","WebExtensions",133,57,14,3
"1_2024 & 2_2024","Webtools",18,9,0,1
"3_2024 & 4_2024","bugzilla.mozilla.org",10,88,1,2
"3_2024 & 4_2024","CA Program",1,29,9,0
"3_2024 & 4_2024","Calendar",20,12,0,1
"3_2024 & 4_2024","Conduit",34,54,1,1
"3_2024 & 4_2024","Data Platform and Tools",34,122,1,1
"3_2024 & 4_2024","Developer Infrastructure",23,61,1,1
"3_2024 & 4_2024","GeckoView",29,40,0,0
"3_2024 & 4_2024","MailNews Core",93,50,2,2
"3_2024 & 4_2024","Mozilla QA",0,1,0,0
"3_2024 & 4_2024","mozilla.org",1,84,0,0
"3_2024 & 4_2024","NSS",15,22,7,0
"3_2024 & 4_2024","Release Engineering",12,116,2,0
"3_2024 & 4_2024","Remote Protocol",22,64,0,0
"3_2024 & 4_2024","support.mozilla.org",4,27,1,2
"3_2024 & 4_2024","WebExtensions",52,34,4,4
"3_2024 & 4_2024","Webtools",9,11,0,0
"5_2024 & 6_2024","bugzilla.mozilla.org",18,107,2,3
"5_2024 & 6_2024","CA Program",1,144,3,1
"5_2024 & 6_2024","Calendar",78,23,2,1
"5_2024 & 6_2024","Conduit",33,87,0,0
"5_2024 & 6_2024","Data Platform and Tools",30,79,3,1
"5_2024 & 6_2024","Developer Infrastructure",38,50,1,3
"5_2024 & 6_2024","GeckoView",110,177,1,5
"5_2024 & 6_2024","MailNews Core",143,56,9,6
"5_2024 & 6_2024","Mozilla QA",0,53,7,0
"5_2024 & 6_2024","mozilla.org",1,112,0,0
"5_2024 & 6_2024","NSS",19,74,6,2
"5_2024 & 6_2024","Release Engineering",19,112,3,1
"5_2024 & 6_2024","Remote Protocol",62,69,1,2
"5_2024 & 6_2024","support.mozilla.org",4,75,0,0
"5_2024 & 6_2024","WebExtensions",96,85,1,4
"5_2024 & 6_2024","Webtools",26,53,0,2
"7_2024 & 8_2024","bugzilla.mozilla.org",5,70,2,1
"7_2024 & 8_2024","CA Program",2,63,26,0
"7_2024 & 8_2024","Calendar",28,14,1,2
"7_2024 & 8_2024","Conduit",28,56,0,0
"7_2024 & 8_2024","Data Platform and Tools",51,66,3,0
"7_2024 & 8_2024","Developer Infrastructure",20,33,1,1
"7_2024 & 8_2024","GeckoView",116,40,1,9
"7_2024 & 8_2024","MailNews Core",108,54,4,6
"7_2024 & 8_2024","Mozilla QA",4,96,8,1
"7_2024 & 8_2024","mozilla.org",3,72,0,0
"7_2024 & 8_2024","NSS",9,38,1,1
"7_2024 & 8_2024","Release Engineering",20,60,2,5
"7_2024 & 8_2024","Remote Protocol",52,90,1,6
"7_2024 & 8_2024","support.mozilla.org",10,31,2,1
"7_2024 & 8_2024","WebExtensions",79,52,15,9
"7_2024 & 8_2024","Webtools",12,31,1,0
"9_2023 & 10_2023","bugzilla.mozilla.org",6,32,2,0
"9_2023 & 10_2023","CA Program",2,34,2,0
"9_2023 & 10_2023","Calendar",26,16,0,0
"9_2023 & 10_2023","Conduit",19,24,0,2
"9_2023 & 10_2023","Data Platform and Tools",20,79,1,0
"9_2023 & 10_2023","Developer Infrastructure",23,62,2,0
"9_2023 & 10_2023","GeckoView",20,30,2,1
"9_2023 & 10_2023","MailNews Core",38,30,1,3
"9_2023 & 10_2023","Mozilla QA",0,0,0,0
"9_2023 & 10_2023","mozilla.org",0,66,0,0
"9_2023 & 10_2023","NSS",49,29,1,0
"9_2023 & 10_2023","Release Engineering",11,54,2,0
"9_2023 & 10_2023","Remote Protocol",21,50,0,0
"9_2023 & 10_2023","support.mozilla.org",9,18,1,1
"9_2023 & 10_2023","WebExtensions",38,40,1,3
"9_2023 & 10_2023","Webtools",6,9,0,0
