"half_month","n_b","start_dt","end_dt"
"9_a_2023",180,2023-09-01,2023-09-15
"9_b_2023",229,2023-09-16,2023-09-30
"10_a_2023",198,2023-10-01,2023-10-15
"10_b_2023",279,2023-10-16,2023-10-31
"11_a_2023",505,2023-11-01,2023-11-15
"11_b_2023",259,2023-11-16,2023-11-30
"12_a_2023",368,2023-12-01,2023-12-15
"12_b_2023",184,2023-12-16,2023-12-31
"1_a_2024",264,2024-01-01,2024-01-15
"1_b_2024",345,2024-01-16,2024-01-31
"2_a_2024",339,2024-02-01,2024-02-15
"2_b_2024",490,2024-02-16,2024-02-29
"3_a_2024",261,2024-03-01,2024-03-15
"3_b_2024",363,2024-03-16,2024-03-31
"4_a_2024",297,2024-04-01,2024-04-15
"4_b_2024",296,2024-04-16,2024-04-30
"5_a_2024",532,2024-05-01,2024-05-15
"5_b_2024",647,2024-05-16,2024-05-31
"6_a_2024",397,2024-06-01,2024-06-15
"6_b_2024",528,2024-06-16,2024-06-30
"7_a_2024",391,2024-07-01,2024-07-15
"7_b_2024",449,2024-07-16,2024-07-31
"8_a_2024",299,2024-08-01,2024-08-15
"8_b_2024",384,2024-08-16,2024-08-31
