"W","half_month","Product","New","Fixed","Assigned","Reopened"
"R1","9_a_2023","bugzilla.mozilla.org",1,5,1,0
"R1","9_a_2023","CA Program",0,4,1,0
"R1","9_a_2023","Calendar",3,1,0,0
"R1","9_a_2023","Conduit",3,8,0,0
"R1","9_a_2023","Data Platform and Tools",4,21,1,0
"R1","9_a_2023","Developer Infrastructure",0,15,1,0
"R1","9_a_2023","GeckoView",2,7,1,1
"R1","9_a_2023","MailNews Core",12,6,0,1
"R1","9_a_2023","Mozilla QA",0,0,0,0
"R1","9_a_2023","mozilla.org",0,16,0,0
"R1","9_a_2023","NSS",1,5,0,0
"R1","9_a_2023","Release Engineering",2,8,1,0
"R1","9_a_2023","Remote Protocol",2,6,0,0
"R1","9_a_2023","support.mozilla.org",1,12,0,0
"R1","9_a_2023","WebExtensions",14,10,0,0
"R1","9_a_2023","Webtools",0,3,0,0
"R1","9_b_2023","bugzilla.mozilla.org",2,9,1,0
"R1","9_b_2023","CA Program",2,18,1,0
"R1","9_b_2023","Calendar",6,4,0,0
"R1","9_b_2023","Conduit",4,4,0,0
"R1","9_b_2023","Data Platform and Tools",4,26,0,0
"R1","9_b_2023","Developer Infrastructure",15,18,1,0
"R1","9_b_2023","GeckoView",5,4,0,0
"R1","9_b_2023","MailNews Core",7,10,0,1
"R1","9_b_2023","Mozilla QA",0,0,0,0
"R1","9_b_2023","mozilla.org",0,17,0,0
"R1","9_b_2023","NSS",1,2,0,0
"R1","9_b_2023","Release Engineering",2,16,1,0
"R1","9_b_2023","Remote Protocol",9,17,0,0
"R1","9_b_2023","support.mozilla.org",1,2,1,0
"R1","9_b_2023","WebExtensions",9,3,1,1
"R1","9_b_2023","Webtools",1,3,0,0
"R1","10_a_2023","bugzilla.mozilla.org",2,9,0,0
"R1","10_a_2023","CA Program",0,10,0,0
"R1","10_a_2023","Calendar",12,3,0,0
"R1","10_a_2023","Conduit",6,4,0,1
"R1","10_a_2023","Data Platform and Tools",7,25,0,0
"R1","10_a_2023","Developer Infrastructure",5,16,0,0
"R1","10_a_2023","GeckoView",10,6,1,0
"R1","10_a_2023","MailNews Core",7,2,1,0
"R1","10_a_2023","Mozilla QA",0,0,0,0
"R1","10_a_2023","mozilla.org",0,13,0,0
"R1","10_a_2023","NSS",1,4,0,0
"R1","10_a_2023","Release Engineering",6,12,0,0
"R1","10_a_2023","Remote Protocol",2,5,0,0
"R1","10_a_2023","support.mozilla.org",2,3,0,1
"R1","10_a_2023","WebExtensions",7,12,0,2
"R1","10_a_2023","Webtools",1,0,0,0
"R1","10_b_2023","bugzilla.mozilla.org",1,9,0,0
"R1","10_b_2023","CA Program",0,2,0,0
"R1","10_b_2023","Calendar",5,8,0,0
"R1","10_b_2023","Conduit",6,8,0,1
"R1","10_b_2023","Data Platform and Tools",5,7,0,0
"R1","10_b_2023","Developer Infrastructure",3,13,0,0
"R1","10_b_2023","GeckoView",3,13,0,0
"R1","10_b_2023","MailNews Core",12,12,0,1
"R1","10_b_2023","Mozilla QA",0,0,0,0
"R1","10_b_2023","mozilla.org",0,20,0,0
"R1","10_b_2023","NSS",46,18,1,0
"R1","10_b_2023","Release Engineering",1,18,0,0
"R1","10_b_2023","Remote Protocol",8,22,0,0
"R1","10_b_2023","support.mozilla.org",5,1,0,0
"R1","10_b_2023","WebExtensions",8,15,0,0
"R1","10_b_2023","Webtools",4,3,0,0
"R2","11_a_2023","bugzilla.mozilla.org",1,13,0,0
"R2","11_a_2023","CA Program",0,5,0,0
"R2","11_a_2023","Calendar",2,7,0,1
"R2","11_a_2023","Conduit",2,3,0,0
"R2","11_a_2023","Data Platform and Tools",6,29,1,0
"R2","11_a_2023","Developer Infrastructure",2,18,0,0
"R2","11_a_2023","GeckoView",5,7,1,1
"R2","11_a_2023","MailNews Core",18,11,0,1
"R2","11_a_2023","Mozilla QA",0,0,0,0
