"Pair","Spearman","Spearman_p","Kendall","Kendall_p"
"R1 vs R_star",0.370588235294118,0.157650464737821,0.233333333333333,0.207442014313165
"R2 vs R_star",0.620588235294118,0.0103135155496777,0.466666666666667,0.0116935099773089
"R3 vs R_star",0.482352941176471,0.0584589767747195,0.35,0.0586315918378752
"R4 vs R_star",0.582352941176471,0.0179327341310354,0.4,0.0306890976069072
"R5 vs R_star",0.65,0.0064157065211753,0.466666666666667,0.0116935099773089
"R6 vs R_star",0.691176470588235,0.00302471879504341,0.483333333333333,0.00901971523122656
"R1 vs R2",0.426470588235294,0.0994991119375398,0.333333333333333,0.0717185365084341
"R2 vs R3",0.564705882352941,0.0226632048441846,0.416666666666667,0.0243775679461656
"R3 vs R4",0.535294117647059,0.0326158632940219,0.416666666666667,0.0243775679461656
"R4 vs R5",0.426470588235294,0.0994991119375398,0.333333333333333,0.0717185365084341
"R5 vs R6",0.544117647058823,0.0293363374813766,0.383333333333333,0.0383554527723925
